age,deathrate,survivor
0,226,100000
1,31,99774
2,22,99743
3,16,99721
4,12,99706
5,10,99694
6,10,99683
7,10,99673
8,9,99664
9,8,99655
10,7,99647
11,8,99639
12,9,99632
13,11,99623
14,13,99612
15,17,99599
16,22,99582
17,28,99560
18,35,99532
19,42,99497
20,48,99455
21,53,99407
22,56,99354
23,59,99298
24,59,99239
25,59,99180
26,58,99121
27,57,99063
28,58,99006
29,61,98948
30,63,98887
31,65,98824
32,65,98760
33,67,98694
34,71,98627
35,76,98557
36,82,98481
37,88,98399
38,95,98311
39,102,98217
40,110,98115
41,120,98005
42,132,97885
43,144,97753
44,159,97609
45,176,97450
46,193,97274
47,212,97081
48,231,96869
49,253,96638
50,276,96385
51,303,96109
52,335,95806
53,369,95471
54,402,95102
55,436,94700
56,470,94264
57,509,93794
58,557,93285
59,613,92729
60,677,92115
61,742,91439
62,812,90696
63,886,89884
64,958,88999
65,1030,88041
66,1106,87010
67,1189,85904
68,1278,84715
69,1373,83437
70,1472,82064
71,1568,80592
72,1678,79024
73,1805,77347
74,1951,75542
75,2115,73591
76,2297,71476
77,2498,69178
78,2717,66680
79,2959,63963
80,3204,61004
81,3435,57800
82,3639,54366
83,3802,50726
84,3919,46924
85,3999,43005
86,4046,39006
87,4055,34960
88,3988,30905
89,3827,26917
90,3616,23089
91,3349,19473
92,3036,16124
93,2690,13089
94,2327,10399
95,1962,8072
96,1609,6110
97,1281,4501
98,989,3219
99,737,2230
100,530,1493
101,366,963
102,243,596
103,154,354
104,93,200
105,108,108
