day,systolic blood pressure,diastolic blood pressure
1,111,79
2,126,75
3,111,73
4,116,70
5,109,71
6,108,62
7,106,60
8,113,74
9,111,72
10,110,68
11,114,57
12,129,81
13,96,61
14,108,69
15,104,67
16,120,65
17,113,82
18,108,76
19,119,78
20,115,79
21,109,67
22,121,72
23,116,71
24,106,71
25,97,56
26,119,68
27,103,72
28,117,70
29,112,78
30,90,69
31,110,71
32,117,67
33,115,73
34,120,77
35,104,72
36,122,77
37,119,72
38,103,68
39,104,84
40,113,79
41,115,73
42,99,79
43,111,89
44,120,66
45,107,74
46,116,79
47,102,76
48,102,72
49,107,71
50,103,75
